datetime,timestamp_ms,ppm,temperature_c,battery_mv,status
2026-06-01 11:51:55,152190,0.431,28.57,118,1
2026-06-01 11:51:58,155220,-0.683,28.57,118,1
2026-06-01 11:52:01,158250,-0.872,28.56,118,1
2026-06-01 11:52:04,161280,-0.200,28.57,118,1
2026-06-01 11:52:07,164310,-0.305,28.56,118,1
2026-06-01 11:52:10,167340,0.410,28.57,118,1
2026-06-01 11:52:13,170370,0.053,28.57,118,1
2026-06-01 11:52:16,173400,0.368,28.57,118,1
2026-06-01 11:52:19,176430,-0.221,28.57,118,1
2026-06-01 11:52:22,179460,1.313,28.57,117,1
2026-06-01 11:52:25,182490,0.200,28.57,118,1
2026-06-01 11:52:28,185520,0.452,28.57,118,1
2026-06-01 11:52:31,188550,1.229,28.57,118,1
2026-06-01 11:52:34,191580,0.284,28.57,118,1
2026-06-01 11:52:37,194610,-0.221,28.57,118,1
2026-06-01 11:52:40,197640,0.116,28.57,118,1
2026-06-01 11:52:43,200670,-0.557,28.57,118,1
2026-06-01 11:52:46,203700,-0.095,28.57,118,1
2026-06-01 11:52:49,206730,-0.242,28.57,118,1
2026-06-01 11:52:53,209760,-0.893,28.57,118,1
2026-06-01 11:52:56,212790,0.200,28.57,118,1
2026-06-01 11:52:59,215820,-0.242,28.57,118,1
2026-06-01 11:53:02,218850,0.389,28.57,118,1
2026-06-01 11:53:05,221880,0.137,28.56,118,1
2026-06-01 11:53:08,224910,-0.725,28.57,118,1
2026-06-01 11:53:11,227940,-0.031,28.56,117,1
2026-06-01 11:53:14,230970,-0.494,28.57,118,1
2026-06-01 11:53:17,234000,0.977,28.56,117,1
2026-06-01 11:53:20,237030,-0.305,28.56,118,1
2026-06-01 11:53:23,240060,0.473,28.56,118,1
2026-06-01 11:53:26,243090,0.347,28.56,118,1
2026-06-01 11:53:29,246120,-0.494,28.56,118,1
2026-06-01 11:53:32,249150,-0.010,28.56,117,1
2026-06-01 11:53:35,252180,0.179,28.56,118,1
2026-06-01 11:53:38,255210,0.179,28.56,118,1
2026-06-01 11:53:41,258240,-0.347,28.56,118,1
2026-06-01 11:53:44,261270,0.053,28.56,118,1
2026-06-01 11:53:47,264300,0.956,28.56,118,1
2026-06-01 11:53:50,267330,0.074,28.56,118,1
2026-06-01 11:53:53,270360,0.494,28.55,118,1
2026-06-01 11:53:56,273390,0.767,28.55,118,1
2026-06-01 11:53:59,276420,0.536,28.55,118,1
2026-06-01 11:54:02,279450,0.746,28.55,118,1
2026-06-01 11:54:05,282480,-0.116,28.55,117,1
2026-06-01 11:54:08,285510,0.431,28.55,118,1
2026-06-01 11:54:11,288540,0.494,28.54,118,1
2026-06-01 11:54:14,291570,0.158,28.54,118,1
2026-06-01 11:54:17,294600,0.578,28.54,117,1
2026-06-01 11:54:20,297630,-0.347,28.54,118,1
2026-06-01 11:54:23,300660,0.557,28.54,118,1
2026-06-01 11:54:26,303690,-0.010,28.54,118,1
2026-06-01 11:54:29,306720,-0.389,28.54,118,1
2026-06-01 11:54:32,309750,0.326,28.54,118,1
2026-06-01 11:54:36,312780,0.200,28.54,118,1
2026-06-01 11:54:39,315810,0.578,28.54,117,1
2026-06-01 11:54:42,318840,0.662,28.54,118,1
2026-06-01 11:54:45,321870,0.326,28.54,117,1
2026-06-01 11:54:48,324900,0.158,28.53,118,1
2026-06-01 11:54:51,327930,0.956,28.53,118,1
2026-06-01 11:54:54,330960,0.788,28.53,118,1
2026-06-01 11:54:57,333990,0.179,28.53,117,1
2026-06-01 11:55:00,337020,0.578,28.53,117,1
2026-06-01 11:55:03,340050,0.410,28.53,118,1
2026-06-01 11:55:06,343080,0.830,28.53,117,1
2026-06-01 11:55:09,346110,0.158,28.53,118,1
2026-06-01 11:55:12,349140,-0.221,28.52,117,1
2026-06-01 11:55:15,352170,0.200,28.52,118,1
2026-06-01 11:55:18,355200,0.578,28.52,118,1
2026-06-01 11:55:21,358230,0.284,28.53,118,1
2026-06-01 11:55:24,361260,0.263,28.53,118,1
2026-06-01 11:55:27,364290,-0.389,28.52,117,1
2026-06-01 11:55:30,367320,0.599,28.52,118,1
2026-06-01 11:55:33,370350,1.712,28.52,117,1
2026-06-01 11:55:36,373380,-0.095,28.52,117,1
2026-06-01 11:55:39,376410,0.557,28.52,118,1
2026-06-01 11:55:42,379440,-1.082,28.51,118,1
2026-06-01 11:55:45,382470,0.011,28.51,117,1
2026-06-01 11:55:48,385500,0.326,28.52,117,1
2026-06-01 11:55:51,388530,-0.914,28.52,118,1
2026-06-01 11:55:54,391560,-0.263,28.51,117,1
2026-06-01 11:55:57,394590,-0.641,28.51,118,1
2026-06-01 11:56:00,397620,0.263,28.51,118,1
2026-06-01 11:56:03,400650,0.452,28.51,118,1
2026-06-01 11:56:06,403680,0.389,28.51,117,1
2026-06-01 11:56:09,406710,-0.704,28.51,117,1
2026-06-01 11:56:12,409740,0.956,28.51,117,1
2026-06-01 11:56:16,412770,0.116,28.51,117,1
2026-06-01 11:56:19,415800,0.494,28.51,118,1
2026-06-01 11:56:22,418830,0.473,28.51,117,1
2026-06-01 11:56:25,421860,0.053,28.51,118,1
2026-06-01 11:56:28,424890,-0.242,28.50,118,1
2026-06-01 11:56:31,427920,0.011,28.50,117,1
2026-06-01 11:56:34,430950,0.263,28.50,118,1
2026-06-01 11:56:37,433980,0.032,28.50,118,1
2026-06-01 11:56:40,437010,0.683,28.50,118,1
2026-06-01 11:56:43,440040,0.179,28.50,117,1
2026-06-01 11:56:46,443070,-0.010,28.50,118,1
2026-06-01 11:56:49,446100,0.956,28.49,117,1
2026-06-01 11:56:52,449130,-0.179,28.49,117,1
2026-06-01 11:56:55,452160,1.208,28.49,117,1
2026-06-01 11:56:58,455190,0.284,28.49,117,1
2026-06-01 11:57:01,458220,0.431,28.49,117,1
2026-06-01 11:57:04,461250,0.410,28.49,118,1
2026-06-01 11:57:07,464280,-0.137,28.49,118,1
2026-06-01 11:57:10,467310,0.305,28.49,117,1
2026-06-01 11:57:13,470340,0.158,28.49,117,1
2026-06-01 11:57:16,473370,0.242,28.49,118,1
2026-06-01 11:57:19,476400,-0.263,28.48,117,1
2026-06-01 11:57:22,479430,0.662,28.48,118,1
2026-06-01 11:57:25,482460,-0.305,28.49,118,1
2026-06-01 11:57:28,485490,-0.010,28.49,118,1
2026-06-01 11:57:31,488520,-0.494,28.48,118,1
2026-06-01 11:57:34,491550,0.725,28.49,117,1
2026-06-01 11:57:37,494580,-0.031,28.48,118,1
2026-06-01 11:57:40,497610,0.221,28.48,118,1
2026-06-01 11:57:43,500640,0.347,28.48,117,1
2026-06-01 11:57:46,503670,-0.052,28.48,118,1
2026-06-01 11:57:49,506700,0.431,28.48,117,1
2026-06-01 11:57:52,509730,0.053,28.48,118,1
2026-06-01 11:57:56,512760,-0.137,28.48,118,1
2026-06-01 11:57:59,515790,-0.200,28.48,118,1
2026-06-01 11:58:02,518820,0.074,28.48,118,1
2026-06-01 11:58:05,521850,0.998,28.48,117,1
2026-06-01 11:58:08,524880,0.662,28.48,117,1
2026-06-01 11:58:11,527910,0.074,28.48,118,1
2026-06-01 11:58:14,530940,-0.536,28.48,117,1
2026-06-01 11:58:17,533970,0.578,28.48,117,1
2026-06-01 11:58:20,537000,1.019,28.48,117,1
2026-06-01 11:58:23,540030,0.347,28.47,117,1
2026-06-01 11:58:26,543060,0.179,28.48,118,1
2026-06-01 11:58:29,546090,0.200,28.47,118,1
2026-06-01 11:58:32,549120,-0.410,28.47,117,1
2026-06-01 11:58:35,552150,1.292,28.47,117,1
